count,end_date,name,start_date
25,2018-07-28,The Dip,2018-07-21
24,2018-07-28,Etta James,2018-07-21
15,2018-07-28,Lawrence,2018-07-21
11,2018-07-28,Phantastic Ferniture,2018-07-21
8,2018-07-28,Lake Street Dive,2018-07-21
8,2018-07-28,The Seige,2018-07-21
7,2018-07-28,Otis Redding,2018-07-21
6,2018-07-28,St. Paul &amp; The Broken Bones,2018-07-21
6,2018-07-28,The Rubens,2018-07-21
5,2018-07-28,Cub Sport,2018-07-21
5,2018-07-28,Sam Cooke,2018-07-21
5,2018-07-28,The Lumineers,2018-07-21
4,2018-07-28,Bad Rabbits,2018-07-21
4,2018-07-28,Próxima Parada,2018-07-21
4,2018-07-28,The Shins,2018-07-21
3,2018-07-28,Anderson .Paak,2018-07-21
3,2018-07-28,Bill Withers,2018-07-21
3,2018-07-28,Chance the Rapper,2018-07-21
3,2018-07-28,Easy Giant,2018-07-21
3,2018-07-28,Gregory Alan Isakov,2018-07-21
3,2018-07-28,Julie London,2018-07-21
3,2018-07-28,Motel Radio,2018-07-21
3,2018-07-28,Nina Simone,2018-07-21
3,2018-07-28,Ra Ra Riot,2018-07-21
3,2018-07-28,Vulfpeck,2018-07-21
66,2018-07-21,The Rubens,2018-07-14
14,2018-07-21,Bad Rabbits,2018-07-14
14,2018-07-21,Leon Bridges,2018-07-14
13,2018-07-21,"Tyler, the Creator",2018-07-14
11,2018-07-21,Gregory Alan Isakov,2018-07-14
9,2018-07-21,Easy Giant,2018-07-14
7,2018-07-21,Angie McMahon,2018-07-14
7,2018-07-21,Dan Auerbach,2018-07-14
7,2018-07-21,Ra Ra Riot,2018-07-14
7,2018-07-21,The Black Keys,2018-07-14
6,2018-07-21,Angus &amp; Julia Stone,2018-07-14
6,2018-07-21,Lucy Dacus,2018-07-14
6,2018-07-21,The Lumineers,2018-07-14
5,2018-07-21,Northeast Party House,2018-07-14
4,2018-07-21,Future Islands,2018-07-14
4,2018-07-21,Otis Redding,2018-07-14
4,2018-07-21,Tash Sultana,2018-07-14
4,2018-07-21,Wild Child,2018-07-14
3,2018-07-21,Ben Folds,2018-07-14
3,2018-07-21,Coldplay,2018-07-14
3,2018-07-21,Drummer,2018-07-14
3,2018-07-21,Gang of Youths,2018-07-14
3,2018-07-21,Middle Kids,2018-07-14
3,2018-07-21,River Whyless,2018-07-14
3,2018-07-21,Sticky Fingers,2018-07-14
80,2018-07-14,The Rubens,2018-07-07
18,2018-07-14,"Tyler, the Creator",2018-07-07
