count,end_date,name,start_date
90,2018-05-07,Lake Street Dive,2018-04-07
81,2018-05-07,The Rubens,2018-04-07
53,2018-05-07,You Won't,2018-04-07
49,2018-05-07,The Districts,2018-04-07
47,2018-05-07,Cold War Kids,2018-04-07
43,2018-05-07,The Brook &amp; The Bluff,2018-04-07
32,2018-05-07,NEEDTOBREATHE,2018-04-07
29,2018-05-07,Shakey Graves,2018-04-07
25,2018-05-07,Lawrence,2018-04-07
24,2018-05-07,Dan Auerbach,2018-04-07
21,2018-05-07,Wild Child,2018-04-07
18,2018-05-07,Ms. Lauryn Hill,2018-04-07
18,2018-05-07,Smokey Robinson and The Miracles,2018-04-07
15,2018-05-07,Andrew Applepie,2018-04-07
15,2018-05-07,Matt &amp; Kim,2018-04-07
15,2018-05-07,Otis Redding,2018-04-07
13,2018-05-07,Logic,2018-04-07
11,2018-05-07,Gregory Alan Isakov,2018-04-07
11,2018-05-07,Leon Bridges,2018-04-07
11,2018-05-07,The Dig,2018-04-07
10,2018-05-07,St. Paul &amp; The Broken Bones,2018-04-07
10,2018-05-07,The Lumineers,2018-04-07
9,2018-05-07,Heartless Bastards,2018-04-07
9,2018-05-07,J. Cole,2018-04-07
9,2018-05-07,Jr Jr,2018-04-07
62,2018-04-07,NEEDTOBREATHE,2018-03-08
62,2018-04-07,Shannon and the Clams,2018-03-08
52,2018-04-07,Lake Street Dive,2018-03-08
33,2018-04-07,Otis Redding,2018-03-08
33,2018-04-07,Próxima Parada,2018-03-08
32,2018-04-07,Dan Auerbach,2018-03-08
32,2018-04-07,Mt. Joy,2018-03-08
28,2018-04-07,Gregory Alan Isakov,2018-03-08
25,2018-04-07,G Flip,2018-03-08
24,2018-04-07,St. Paul &amp; The Broken Bones,2018-03-08
24,2018-04-07,Wild Child,2018-03-08
23,2018-04-07,The Lumineers,2018-03-08
23,2018-04-07,You Won't,2018-03-08
20,2018-04-07,Leon Bridges,2018-03-08
19,2018-04-07,Frankie Cosmos,2018-03-08
19,2018-04-07,Lucy Dacus,2018-03-08
19,2018-04-07,Yo La Tengo,2018-03-08
18,2018-04-07,Yellow Days,2018-03-08
16,2018-04-07,Cold War Kids,2018-03-08
15,2018-04-07,Alabama Shakes,2018-03-08
15,2018-04-07,The Black Keys,2018-03-08
14,2018-04-07,Logic,2018-03-08
12,2018-04-07,Calum Scott,2018-03-08
12,2018-04-07,Jack Johnson,2018-03-08
12,2018-04-07,Kings of Leon,2018-03-08
64,2018-03-08,Chance the Rapper,2018-02-06
45,2018-03-08,Awolnation,2018-02-06
44,2018-03-08,Rhye,2018-02-06
43,2018-03-08,NEEDTOBREATHE,2018-02-06
43,2018-03-08,Wild Child,2018-02-06
40,2018-03-08,Justin Timberlake,2018-02-06
32,2018-03-08,Lake Street Dive,2018-02-06
29,2018-03-08,Júníus Meyvant,2018-02-06
25,2018-03-08,Frank Ocean,2018-02-06
25,2018-03-08,Youth Lagoon,2018-02-06
22,2018-03-08,Otis Redding,2018-02-06
21,2018-03-08,Lucy Dacus,2018-02-06
20,2018-03-08,Anderson East,2018-02-06
15,2018-03-08,The Lumineers,2018-02-06
14,2018-03-08,Cold War Kids,2018-02-06
14,2018-03-08,Gregory Alan Isakov,2018-02-06
13,2018-03-08,St. Paul &amp; The Broken Bones,2018-02-06
13,2018-03-08,The Districts,2018-02-06
12,2018-03-08,Coldplay,2018-02-06
11,2018-03-08,Active Child,2018-02-06
11,2018-03-08,Ben Howard,2018-02-06
11,2018-03-08,Jacob Banks,2018-02-06
11,2018-03-08,Kendrick Lamar,2018-02-06
10,2018-03-08,AHI,2018-02-06
10,2018-03-08,Dan Auerbach,2018-02-06
100,2018-02-06,NEEDTOBREATHE,2018-01-07
53,2018-02-06,Anderson East,2018-01-07
46,2018-02-06,Eau Claire Memorial Jazz I,2018-01-07
32,2018-02-06,Middle Kids,2018-01-07
27,2018-02-06,Gregory Alan Isakov,2018-01-07
25,2018-02-06,AHI,2018-01-07
24,2018-02-06,Lake Street Dive,2018-01-07
22,2018-02-06,Lucy Dacus,2018-01-07
21,2018-02-06,Lewis Del Mar,2018-01-07
21,2018-02-06,Rhye,2018-01-07
20,2018-02-06,Frankie Cosmos,2018-01-07
18,2018-02-06,Mimicking Birds,2018-01-07
18,2018-02-06,Typhoon,2018-01-07
17,2018-02-06,Wild Child,2018-01-07
16,2018-02-06,The Barr Brothers,2018-01-07
16,2018-02-06,The Black Keys,2018-01-07
15,2018-02-06,alt-J,2018-01-07
14,2018-02-06,You Won't,2018-01-07
12,2018-02-06,Greyhounds,2018-01-07
12,2018-02-06,Mumford &amp; Sons,2018-01-07
12,2018-02-06,The Lumineers,2018-01-07
11,2018-02-06,Future Islands,2018-01-07
11,2018-02-06,The Districts,2018-01-07
10,2018-02-06,Kat Wright,2018-01-07
10,2018-02-06,Otis Redding,2018-01-07
