,artists,name,track_id,source,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Billy Joel,Vienna,4U45aEWtQhrm8A5mxPaFZ7,Saved,0.659,0.532,214240,0.495,4U45aEWtQhrm8A5mxPaFZ7,0.0,10,0.0754,-6.662,1,0.0343,124.936,4,0.308
1,The Districts,Velour and Velcro,3Gz4UcOY2SnA6GzJ65npSv,Saved,0.000153,0.458,190320,0.919,3Gz4UcOY2SnA6GzJ65npSv,0.722,10,0.265,-6.143,1,0.127,157.085,4,0.37
2,Margaret Glaspy,Devotion,1zzukRvyiuRYnvVAcEXXsi,Saved,0.481,0.547,237187,0.297,1zzukRvyiuRYnvVAcEXXsi,0.00294,0,0.0954,-11.21,1,0.0525,78.536,4,0.408
3,Gang of Youths,Both Sides Now (Bonus Track),2V8qBEywSkq6xrrCWZlIcl,Saved,0.815,0.358,343597,0.33,2V8qBEywSkq6xrrCWZlIcl,0.0,10,0.354,-12.87,1,0.0901,102.248,4,0.17
4,Savannah Sgro,Phobia,5GjGfeUwlQdrXX6ovgsdCU,Saved,0.0942,0.683,203607,0.646,5GjGfeUwlQdrXX6ovgsdCU,0.0,0,0.0678,-7.635,1,0.037,122.071,4,0.427
5,Quinn Christopherson,Erase Me,4dejSJSFvA8ttjcQnpNLPx,Saved,0.577,0.726,310007,0.374,4dejSJSFvA8ttjcQnpNLPx,0.0194,8,0.124,-11.935,1,0.0643,85.004,4,0.573
6,Pillow Queens,Brothers,7Kc7yuUjFDGNPixhZBll8E,Saved,0.00535,0.475,230602,0.511,7Kc7yuUjFDGNPixhZBll8E,1.81e-05,4,0.497,-5.597,1,0.0501,121.88,4,0.339
7,Caamp,Strawberries,0ESvfrHfNuAtkZp8SMJBOY,Saved,0.963,0.547,219344,0.0897,0ESvfrHfNuAtkZp8SMJBOY,0.00578,3,0.111,-18.732,1,0.0457,117.17,5,0.263
8,Briston Maroney,Freakin' Out On the Interstate,6Fqf0OTfB9VPfYk2HfBhPn,Saved,0.391,0.452,251906,0.79,6Fqf0OTfB9VPfYk2HfBhPn,0.0,4,0.303,-5.01,1,0.0534,143.861,4,0.362
9,Kate Davis,Daisy,0uPDkOsE8cH0pzDB9zNT8T,Saved,0.15,0.662,177680,0.529,0uPDkOsE8cH0pzDB9zNT8T,0.000336,7,0.115,-10.35,1,0.0439,131.097,4,0.24
10,Jordan Mackampa,What Am I,5IUjXOSBYkz7Ou5yDEyuxr,Saved,0.455,0.583,249927,0.458,5IUjXOSBYkz7Ou5yDEyuxr,4.58e-05,9,0.38,-11.191,1,0.046,90.005,4,0.39
11,Harry Styles,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,Saved,0.000564,0.566,221827,0.846,6iYMfxznTBlcVOgRHab2W0,0.000795,7,0.121,-6.904,0,0.035,160.02,4,0.86
12,Harry Styles,Cherry,2IOFZdYYkFxEHVz1w34PoL,Saved,0.615,0.53,259187,0.512,2IOFZdYYkFxEHVz1w34PoL,0.00453,7,0.129,-9.261,1,0.0259,95.946,4,0.411
13,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,Saved,0.122,0.548,174000,0.816,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557
14,Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,Saved,0.0237,0.676,207133,0.771,3jjujdWJ72nww5eGnfs2E7,7e-06,8,0.102,-3.675,1,0.0483,99.048,4,0.569
15,Akinyemi,Seaworld,748e8BGwXj7Y9P9lN5SNSn,Saved,0.463,0.887,161800,0.607,748e8BGwXj7Y9P9lN5SNSn,4.88e-05,1,0.112,-9.613,1,0.193,135.093,4,0.696
16,Carla Geneve,Yesterday?s Clothes,2qiwdXBDEdWpwyRdgVsgt4,Saved,0.0204,0.69,264753,0.442,2qiwdXBDEdWpwyRdgVsgt4,0.0182,2,0.1,-8.894,1,0.026,94.016,4,0.56
17,BOYO,Backseat Driver,0WKyMeJTYsPHfwSvfaGp9u,Saved,0.38,0.423,139653,0.808,0WKyMeJTYsPHfwSvfaGp9u,0.0,2,0.215,-4.397,1,0.0297,170.05,4,0.693
18,Luke De-Sciscio,I'm a Dream Fighting Out of a Man,59gOKDxmP9HiCIOErTwyML,Saved,0.855,0.545,166846,0.193,59gOKDxmP9HiCIOErTwyML,7.15e-05,4,0.11,-10.636,1,0.0461,117.797,4,0.287
19,Dixie Chicks,Gaslighter,4BR0bp4qHX1lcBM2HtnoIm,Saved,0.00624,0.681,203467,0.728,4BR0bp4qHX1lcBM2HtnoIm,0.0,2,0.055,-7.317,1,0.0513,131.017,4,0.693
