,artists,name,track_id,source,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
20,Soccer Mommy,circle the drain,2drtd6SptpMJ1KylMQ7mrE,Saved,0.303,0.482,280213,0.79,2drtd6SptpMJ1KylMQ7mrE,0.00028,9,0.1,-5.221,1,0.038,169.064,4,0.47
21,"Megan Thee Stallion, Normani",Diamonds (with Normani),6ICBns1bymo8FRM6rlr48H,Saved,0.19,0.784,199301,0.755,6ICBns1bymo8FRM6rlr48H,0.0,1,0.264,-3.842,1,0.0867,94.013,4,0.496
22,Elton John,Saturday Night?s Alright (For Fighting) - Remastered 2014,0LHItNoPqjxWcbvQzw9NIv,Saved,0.0195,0.513,295466,0.979,0LHItNoPqjxWcbvQzw9NIv,0.0951,0,0.0906,-6.362,1,0.0425,152.875,4,0.94
23,K.Flay,Bad Memory,2MqaQfeuanwWhfrJAK8P7K,Saved,0.0681,0.739,174747,0.772,2MqaQfeuanwWhfrJAK8P7K,8.59e-05,9,0.1,-3.363,1,0.0697,127.061,4,0.779
24,Mt. Joy,Strangers,73WyCOipkJRtIH8klizJd5,Saved,0.739,0.564,193187,0.636,73WyCOipkJRtIH8klizJd5,0.0224,7,0.0807,-8.136,1,0.0418,101.913,4,0.218
25,Stella Donnelly,Love Is In The Air (triple j Like A Version),1ZRSLg2mLU333i0fF294E0,Saved,0.0612,0.569,265247,0.535,1ZRSLg2mLU333i0fF294E0,3.84e-05,7,0.0977,-10.963,1,0.0247,96.231,4,0.756
26,Conan Gray,Idle Town,0cXRafInOlc1QH519RXltN,Saved,0.872,0.606,237920,0.478,0cXRafInOlc1QH519RXltN,2.02e-05,7,0.106,-6.035,1,0.0276,77.086,4,0.266
27,Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,Saved,0.0941,0.687,252307,0.617,4sNG6zQBmtq7M8aeeKJRMQ,1.32e-05,4,0.0898,-5.213,1,0.0287,121.08,4,0.665
28,Nathaniel Rateliff,Still Trying,3SCDpe3QWlLSg5oJjqN25Q,Saved,0.813,0.515,249580,0.146,3SCDpe3QWlLSg5oJjqN25Q,0.00175,11,0.14,-15.018,1,0.0381,80.99,4,0.243
54,Nathaniel Rateliff,Rush On,0LTPgl96vfZecmStBFywYb,Saved,0.697,0.252,368240,0.134,0LTPgl96vfZecmStBFywYb,0.32,7,0.113,-10.595,1,0.0414,69.463,4,0.0846
55,Nathaniel Rateliff,What A Drag,7MxkBqqxn7YF1PhXsuxLGD,Saved,0.452,0.637,214840,0.424,7MxkBqqxn7YF1PhXsuxLGD,0.00765,7,0.0947,-9.956,1,0.0277,108.059,4,0.421
56,Beach Bunny,Rearview,2OILNVXh1UmjTKKDASbkGT,Saved,0.647,0.471,168106,0.227,2OILNVXh1UmjTKKDASbkGT,0.000183,4,0.581,-9.977,1,0.0397,147.241,4,0.252
57,The Ballroom Thieves,Love Is Easy - Acoustic,6ZN4rH3l9xuA4xGcwTK2Wm,Saved,0.884,0.624,206513,0.348,6ZN4rH3l9xuA4xGcwTK2Wm,0.0,9,0.116,-11.445,1,0.0293,99.867,4,0.427
58,"The Ballroom Thieves, Darlingside",Unlovely (feat. Darlingside),5AAZwjwMhoOQjhrj6xjOQp,Saved,0.67,0.449,259613,0.409,5AAZwjwMhoOQjhrj6xjOQp,0.0316,0,0.314,-7.762,1,0.0393,134.185,4,0.296
59,The Ballroom Thieves,Love Is Easy,6kTvaRrbBV3kIjF0SObJm9,Saved,0.437,0.698,200280,0.642,6kTvaRrbBV3kIjF0SObJm9,8.41e-06,9,0.0713,-8.595,1,0.0281,103.979,4,0.414
60,Beach Bunny,Promises,6Xpxug4hBo7T77hVptmwZh,Saved,0.00118,0.558,231197,0.856,6Xpxug4hBo7T77hVptmwZh,0.00729,9,0.199,-2.808,1,0.0423,78.472,4,0.6
61,"AUDREY NUNA, Jack Harlow",Comic Sans (feat. Jack Harlow),63kJcTnJu3qis6h5MX2nnB,Saved,0.0622,0.905,152535,0.518,63kJcTnJu3qis6h5MX2nnB,0.000444,1,0.218,-7.87,1,0.0556,126.986,4,0.315
62,Tame Impala,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,Saved,0.0277,0.303,192960,0.9,0LtOwyZoSNZKJWHqjzADpW,0.635,2,0.11,-2.352,0,0.0574,149.508,4,0.491
63,Jessie Buckley,"Glasgow (No Place Like Home) - Live At Old Fruit Market, Glasgow",0aVNfZMhc6RwzHVUVtzRKJ,Saved,0.346,0.425,253960,0.277,0aVNfZMhc6RwzHVUVtzRKJ,1.4e-06,0,0.103,-9.637,1,0.0441,107.563,3,0.275
64,Shakey Graves,A World So Full of Love,77OBKDqQD0tvocHP5AXDDV,Saved,0.769,0.744,171958,0.391,77OBKDqQD0tvocHP5AXDDV,0.000762,0,0.109,-8.374,1,0.0266,104.874,4,0.533
65,Tiny Meat Gang,Broke Bitch,0aZgW8Nzg38hN00pEFyIEj,Saved,0.0186,0.798,146207,0.557,0aZgW8Nzg38hN00pEFyIEj,0.000947,8,0.124,-7.4,1,0.175,174.006,4,0.526
66,Rex Orange County,Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,Saved,0.707,0.551,267520,0.219,4EWBhKf1fOFnyMtUzACXEc,0.000691,5,0.118,-11.196,1,0.0285,80.978,4,0.191
67,Micah Marcos,Trace,1CXeNAaiWBBOkpstvC8WJp,Saved,0.795,0.795,171928,0.462,1CXeNAaiWBBOkpstvC8WJp,5.67e-06,1,0.11,-11.212,0,0.0658,134.998,4,0.626
68,Begonia,Beats,05vBt0IxXpzxLtxdRtWcWj,Saved,0.496,0.703,211316,0.624,05vBt0IxXpzxLtxdRtWcWj,4.74e-05,0,0.0945,-7.579,1,0.0781,123.879,4,0.635
69,KALEO,I Want More,4xQRRue5qsu2tULiz7UDKi,Saved,0.26,0.546,212527,0.547,4xQRRue5qsu2tULiz7UDKi,0.0,8,0.0575,-7.431,1,0.0318,97.968,4,0.388
70,Mac Miller,Good News,1DWZUa5Mzf2BwzpHtgbHPY,Saved,0.853,0.794,342040,0.32,1DWZUa5Mzf2BwzpHtgbHPY,0.134,1,0.112,-12.92,0,0.173,174.088,4,0.241
71,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,Saved,0.389,0.742,209440,0.553,2hwOoMtWPtTSSn6WHV7Vp5,0.0,8,0.0694,-8.98,1,0.419,84.931,4,0.508
72,Modest Mouse,Missed the Boat,4asjU3sDnn3002bTJIg2vZ,Saved,0.0697,0.71,264813,0.698,4asjU3sDnn3002bTJIg2vZ,0.0,2,0.478,-5.797,1,0.0332,104.007,4,0.852
73,Soccer Mommy,lucy,0api41GfHCbdAsDyO3R7TL,Saved,0.222,0.435,296733,0.768,0api41GfHCbdAsDyO3R7TL,0.0508,9,0.32,-4.327,1,0.0287,101.156,4,0.492
74,Palace,Face In The Crowd - Acoustic,61aG11HMsq28RxM44yZ0Gy,Saved,0.828,0.403,178128,0.508,61aG11HMsq28RxM44yZ0Gy,0.00197,4,0.148,-7.201,0,0.043,53.404,4,0.208
75,Frat Mouse,bo2 zombies,6lEIJnj3wAZGwywqyVHEPz,Saved,0.28,0.816,122400,0.58,6lEIJnj3wAZGwywqyVHEPz,0.00938,2,0.513,-10.399,1,0.0608,100.06,4,0.622
76,John Legend,Conversations in the Dark,6TYlDTa9AQDvjqwbxlvFyI,Saved,0.754,0.372,237427,0.355,6TYlDTa9AQDvjqwbxlvFyI,0.0,8,0.167,-8.436,0,0.03,126.705,4,0.142
77,Nathaniel Rateliff,And It's Still Alright,15iPAASNam7qF7sgYpQQJF,Saved,0.689,0.521,235747,0.492,15iPAASNam7qF7sgYpQQJF,0.619,3,0.118,-9.127,1,0.0297,77.585,4,0.301
78,Penny & The Quarters,You And Me,3ue9zcwNcoYvFqKVjG0C6r,Saved,0.945,0.562,160813,0.178,3ue9zcwNcoYvFqKVjG0C6r,6.66e-06,0,0.121,-7.811,1,0.0343,109.589,4,0.25
79,Rex Orange County,Happiness,2rXVtoLBHuXcNB5DVfIc9p,Saved,0.734,0.399,279693,0.235,2rXVtoLBHuXcNB5DVfIc9p,1.56e-06,5,0.161,-9.774,1,0.0334,105.645,3,0.197
80,The Fray,Maps,5eTC8BF96uPzKIWObjokmZ,Saved,0.000543,0.558,198840,0.598,5eTC8BF96uPzKIWObjokmZ,3.43e-05,1,0.171,-8.193,1,0.0384,129.948,4,0.276
81,James Bay,If You Ever Want To Be In Love,0UGRfHjN5t2qRMgfTpYnd3,Saved,0.0276,0.684,238973,0.837,0UGRfHjN5t2qRMgfTpYnd3,2.98e-05,0,0.0627,-5.46,1,0.0307,115.94,4,0.565
82,Sharon Van Etten,Seventeen,7yMYqHqzye8vtyiHqdVlZw,Saved,0.0158,0.538,265920,0.77,7yMYqHqzye8vtyiHqdVlZw,0.214,5,0.0686,-7.376,1,0.0487,127.103,4,0.238
83,Kings of Leon,Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,Saved,0.00172,0.542,203347,0.905,0ntQJM78wzOLVeCUAW7Y45,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374
84,Kings of Leon,Use Somebody,5VGlqQANWDKJFl0MBG3sg2,Saved,0.00552,0.276,230760,0.715,5VGlqQANWDKJFl0MBG3sg2,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173
85,Rex Orange County,Never Had The Balls,5h68UTytwmTJDwoGbqLwzV,Saved,0.387,0.691,236893,0.68,5h68UTytwmTJDwoGbqLwzV,0.000276,5,0.0508,-7.808,1,0.0365,149.974,4,0.361
86,Rex Orange County,Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,Saved,0.653,0.61,206975,0.305,02tvc9CFnTyHuSRlGeNv9w,0.0,4,0.103,-14.037,1,0.053,113.818,4,0.222
87,"Rex Orange County, Randy Newman",You've Got a Friend in Me,446imtjItCGwAmXySZG2FS,Saved,0.897,0.788,139522,0.45,446imtjItCGwAmXySZG2FS,3.07e-05,3,0.3,-7.148,1,0.0278,113.107,4,0.448
88,Kita Alexander,Damage Done,09TSAykx6dM7ml7oX5mrbn,Saved,0.106,0.752,238343,0.484,09TSAykx6dM7ml7oX5mrbn,0.0,6,0.104,-7.388,0,0.0306,117.984,4,0.686
89,SALES,Chinese New Year,0SIAFU49FFHwR3QnT5Jx0k,Saved,0.759,0.744,160000,0.845,0SIAFU49FFHwR3QnT5Jx0k,0.232,4,0.1,-7.422,0,0.253,75.221,4,0.749
90,Highasakite,Heavenly Father,17UMoa06s28klCtgpHhHGg,Saved,0.788,0.298,241255,0.301,17UMoa06s28klCtgpHhHGg,0.0517,7,0.108,-9.23,1,0.0305,126.345,4,0.0397
91,Beach Bunny,Ms. California,0WxZEci23tWn1YzikUljEt,Saved,0.000209,0.582,172037,0.859,0WxZEci23tWn1YzikUljEt,0.125,4,0.0841,-3.943,1,0.0399,121.968,4,0.61
92,Bill Withers,Lean on Me,3M8FzayQWtkvOhqMn2V4T2,Saved,0.782,0.619,258835,0.22,3M8FzayQWtkvOhqMn2V4T2,1.19e-05,0,0.124,-13.843,1,0.0667,75.16,4,0.423
93,Bill Withers,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Saved,0.292,0.69,254560,0.651,0bRXwKfigvpKZUurwqAlEh,0.00241,9,0.105,-8.267,1,0.0324,97.918,4,0.706
94,Bill Withers,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,Saved,0.457,0.479,125093,0.416,1k1Bqnv2R0uJXQN4u6LKYt,1.72e-05,4,0.118,-11.451,0,0.124,79.593,4,0.514
95,Bill Withers,Use Me,4gRA0i5sxx3jAhHaVjPnUN,Saved,0.0333,0.759,228327,0.586,4gRA0i5sxx3jAhHaVjPnUN,0.00312,11,0.0743,-13.461,0,0.056,154.624,4,0.948
96,Coldplay,BrokEn,1cXXhzPnbrXjNQYbLdUJdy,Saved,0.923,0.55,150200,0.271,1cXXhzPnbrXjNQYbLdUJdy,0.0,5,0.147,-11.836,1,0.0495,130.155,4,0.521
97,Maggie Rogers,Love You For A Long Time,6QTPacyXkZWG9FMwq6L1hJ,Saved,0.164,0.707,223120,0.67,6QTPacyXkZWG9FMwq6L1hJ,0.00283,9,0.109,-6.137,1,0.0323,112.993,4,0.822
98,Mt. Joy,Every Holiday,2vXWJZVMkidqV3MwMpuw7a,Saved,0.907,0.522,224276,0.29,2vXWJZVMkidqV3MwMpuw7a,0.000116,7,0.112,-8.528,1,0.0406,124.267,4,0.261
99,Parcels,I Will Always Love You - triple j Like A Version,103lyApLGa42zPVOlgnnfq,Saved,0.649,0.875,233539,0.393,103lyApLGa42zPVOlgnnfq,0.18,9,0.075,-13.937,1,0.0575,140.057,4,0.604
100,ASL,EARLY TO THE PARTY,6Jle0PpzvYfWUO3YD27PNT,Saved,0.399,0.521,168830,0.601,6Jle0PpzvYfWUO3YD27PNT,0.0,2,0.367,-5.335,1,0.0316,79.923,4,0.5
101,Nathaniel Rateliff,Early Spring Till,6Q8hLdXmgZ4KjzqbVpiusQ,Saved,0.631,0.54,239868,0.341,6Q8hLdXmgZ4KjzqbVpiusQ,0.000187,2,0.104,-7.93,1,0.0363,75.303,4,0.207
102,Hippo Campus,Bambi,5dmPNuHmRRJuHmJTDa7NuJ,Saved,0.0661,0.739,194400,0.471,5dmPNuHmRRJuHmJTDa7NuJ,9.78e-05,8,0.116,-8.456,1,0.0436,90.002,4,0.31
103,Sundara Karma,The Night,1eKkpix1Tw2VBcI25KkYig,Saved,0.00062,0.471,262467,0.847,1eKkpix1Tw2VBcI25KkYig,0.0192,11,0.187,-6.496,1,0.0594,90.044,4,0.342
104,Frank Ocean,Godspeed,34xTFwjPQ1dC6uJmleno7x,Saved,0.931,0.421,177922,0.0952,34xTFwjPQ1dC6uJmleno7x,0.000201,6,0.126,-12.561,1,0.0479,109.698,4,0.0773
105,San Fermin,Run Away With Me,21uDewglRvm6Pr9LYnRU7C,Saved,0.985,0.433,239587,0.186,21uDewglRvm6Pr9LYnRU7C,4.55e-06,3,0.0878,-9.024,0,0.037,120.416,4,0.186
106,The Districts,Hey Jo,0QS28YSUyJjIygfy1NuMXi,Saved,0.0303,0.411,235787,0.778,0QS28YSUyJjIygfy1NuMXi,0.00211,9,0.415,-5.481,1,0.0536,173.925,4,0.479
107,The Brook & The Bluff,Shelby,1h1CX2ovWU4EJV3ZwlGf2B,Saved,0.327,0.826,222123,0.513,1h1CX2ovWU4EJV3ZwlGf2B,0.0136,2,0.13,-9.018,1,0.0349,122.983,4,0.866
108,Beach Bunny,Dream Boy,6Fv3pbuEpVFqVZ6QlKELrP,Saved,0.00369,0.677,141396,0.888,6Fv3pbuEpVFqVZ6QlKELrP,0.000854,7,0.144,-3.435,1,0.0298,126.013,4,0.538
109,HAIM,The Wire,6golelYKuy85o3u0cxIxFK,Saved,0.0127,0.547,245293,0.635,6golelYKuy85o3u0cxIxFK,5.01e-06,2,0.0585,-5.569,1,0.137,113.678,4,0.525
110,Rex Orange County,Stressed Out,7uNUSxzFjPj9JQaZidFreW,Saved,0.935,0.65,105040,0.319,7uNUSxzFjPj9JQaZidFreW,0.0,7,0.258,-9.274,1,0.05,84.063,4,0.197
111,Rex Orange County,Face to Face,0YdIIMb2MHuxoUudkAY9gS,Saved,0.592,0.748,219800,0.441,0YdIIMb2MHuxoUudkAY9gS,0.0,10,0.176,-7.653,0,0.0622,124.107,4,0.44
112,Rex Orange County,Always,3SxSrUogj4LpAkLKXeTtTQ,Saved,0.777,0.669,197333,0.374,3SxSrUogj4LpAkLKXeTtTQ,0.0,1,0.326,-7.349,1,0.0385,127.938,4,0.394
113,Rex Orange County,10/10,0tByDZgQzoNfFFmpgleB0s,Saved,0.301,0.487,146102,0.909,0tByDZgQzoNfFFmpgleB0s,2.9e-05,10,0.0803,-4.091,1,0.102,187.783,4,0.293
114,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,Saved,0.00929,0.771,171360,0.671,6RRNNciQGZEXnqk8SQ9yv5,0.0,2,0.0637,-5.617,1,0.0553,85.026,4,0.714
115,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,Saved,0.492,0.359,221307,0.543,1dGr1c8CrMLDpV6mPbImSI,1.58e-05,7,0.118,-7.582,1,0.0919,68.534,4,0.453
116,Lady Lamb,Billions of Eyes,23VVHmw4NbdLQ5kDDYJJpp,Saved,0.00723,0.565,310373,0.668,23VVHmw4NbdLQ5kDDYJJpp,8.06e-05,5,0.0727,-4.91,1,0.0264,149.789,4,0.567
117,Lady Lamb,Deep Love,66UbMTpk2oCQRP1QVX2FbY,Saved,0.366,0.496,237680,0.469,66UbMTpk2oCQRP1QVX2FbY,0.0,7,0.133,-6.619,1,0.0352,137.833,4,0.259
118,Frank Ocean,Forrest Gump,4YZbVct8l9MnAVIROnLQdx,Saved,0.0888,0.701,194840,0.417,4YZbVct8l9MnAVIROnLQdx,0.000648,6,0.375,-7.818,0,0.0329,95.003,4,0.186
119,City and Colour,Difficult Love,4mJNzlooNUYYgWdhFqQeSc,Saved,0.005,0.238,244360,0.664,4mJNzlooNUYYgWdhFqQeSc,0.684,1,0.13,-3.953,1,0.035,75.999,4,0.242
120,Angie McMahon,Take It With Me,3UfIYwltXd3eATlpbff9Gg,Saved,0.841,0.414,246953,0.111,3UfIYwltXd3eATlpbff9Gg,7.76e-06,7,0.0997,-14.029,1,0.0399,118.4,3,0.19
121,Death Cab for Cutie,No Room in Frame,7DkTneByAopqOjXFG6XlZK,Saved,0.196,0.642,245280,0.721,7DkTneByAopqOjXFG6XlZK,0.474,4,0.0926,-9.765,1,0.0434,124.997,4,0.438
122,Death Cab for Cutie,Crooked Teeth,1crbFuCkGL4kXnAGd63RXq,Saved,0.000625,0.579,203733,0.662,1crbFuCkGL4kXnAGd63RXq,3.89e-06,9,0.117,-6.885,1,0.0245,102.951,4,0.574
123,Death Cab for Cutie,Transatlanticism,7DDRPKLKFIvDbNSQmnz19Y,Saved,0.395,0.439,475093,0.469,7DDRPKLKFIvDbNSQmnz19Y,0.573,9,0.183,-9.283,1,0.0311,127.44,4,0.193
124,Death Cab for Cutie,The Sound Of Settling,3OeQl1CTURzhwzd5R4KWrf,Saved,0.00778,0.42,132507,0.792,3OeQl1CTURzhwzd5R4KWrf,0.000621,6,0.214,-5.909,1,0.028,175.389,4,0.712
125,Charlie Sztyk,Pack a Day,7eBhzegzgFcQVx2o7ICk9x,Saved,0.858,0.788,211224,0.366,7eBhzegzgFcQVx2o7ICk9x,0.628,8,0.253,-13.443,1,0.0374,98.027,4,0.362
126,Death Cab for Cutie,What Sarah Said,2JFrlsJBH4IDt3Suot97dP,Saved,0.801,0.505,380867,0.439,2JFrlsJBH4IDt3Suot97dP,0.0217,0,0.104,-9.952,1,0.0268,134.194,3,0.0401
127,Jimmy Eat World,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Saved,0.00085,0.576,245747,0.931,7qVnkPY1UPmSeWULwXSW7a,0.0,7,0.143,-2.491,1,0.0563,133.987,4,0.735
128,Bibio,Lovers Carvings - WXAXRXP Session,0O8opD0spCg2nheujR7DyP,Saved,0.881,0.49,270466,0.316,0O8opD0spCg2nheujR7DyP,0.00484,9,0.103,-9.272,1,0.031,105.061,4,0.316
129,Broken Bells,Good Luck,2apLrBlEQvFa8ob0dQcu6i,Saved,0.352,0.622,206813,0.512,2apLrBlEQvFa8ob0dQcu6i,0.405,2,0.109,-7.44,0,0.0383,169.983,4,0.614
130,"Lala Lala, WHY?",Siren 042,75nN4kH1uzSsUdMrdUVfrq,Saved,0.694,0.601,161043,0.596,75nN4kH1uzSsUdMrdUVfrq,0.00579,11,0.107,-7.373,1,0.0251,108.0,4,0.457
131,"99 Neighbors, Brasstracks, PhiloSofie",Fuck No (feat. Brasstracks & PhiloSofie),0WQZG47PGOUzuQuMpB8gC0,Saved,0.545,0.817,231602,0.487,0WQZG47PGOUzuQuMpB8gC0,0.0,0,0.336,-6.585,1,0.474,70.949,4,0.65
132,Phillip Larue,Summer,5S0W8ZlJB5oLgo6nSXV8Gj,Saved,0.134,0.678,232445,0.537,5S0W8ZlJB5oLgo6nSXV8Gj,0.286,1,0.117,-11.0,0,0.0408,147.993,4,0.314
133,99 Neighbors,Ripstick,6VpixOqGbywfTDhrUAT6S0,Saved,0.00967,0.836,175284,0.799,6VpixOqGbywfTDhrUAT6S0,2.08e-06,11,0.0944,-5.013,0,0.307,155.094,4,0.219
134,G Flip,2 Million,6qJCtk9NCQUj2BtHIGirg6,Saved,0.642,0.616,225974,0.463,6qJCtk9NCQUj2BtHIGirg6,0.0158,0,0.178,-10.235,1,0.056,143.933,4,0.298
135,Julia Jacklin,Someday - triple j Like A Version,2CxLla7i6lur02aOVMHPMK,Saved,0.454,0.567,264908,0.235,2CxLla7i6lur02aOVMHPMK,6.67e-06,11,0.0938,-13.57,1,0.0322,81.678,4,0.265
136,Wilder Woods,"Mary, You're Wrong",1lQvuOZnZGIlJrNbKh5jTI,Saved,0.687,0.607,216476,0.406,1lQvuOZnZGIlJrNbKh5jTI,3.2e-06,1,0.109,-7.943,1,0.0472,145.805,4,0.331
137,Wilder Woods,Light Shine In,01JNL6P4M4hRPUWvK7Fr96,Saved,0.146,0.232,235448,0.881,01JNL6P4M4hRPUWvK7Fr96,0.0,1,0.172,-4.723,0,0.214,203.39,4,0.312
138,Villagers,The Wonder Of You,78tuHzwhY28c7ikM10hFYL,Saved,0.868,0.407,168387,0.427,78tuHzwhY28c7ikM10hFYL,0.139,11,0.0889,-11.334,1,0.0348,118.031,3,0.393
139,Bakar,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Saved,0.312,0.584,213573,0.684,3NRql0A1Ef4RCvT473iqgD,9.05e-05,10,0.112,-4.314,0,0.567,210.164,4,0.72
140,G Flip,I Am Not Afraid,4NbcVJqUScnEy202Hp8l3a,Saved,0.0379,0.554,226660,0.674,4NbcVJqUScnEy202Hp8l3a,0.0,8,0.118,-4.138,1,0.0594,75.989,4,0.336
141,G Flip,Morning,6kVKdpyyyUg8adDRXxObVo,Saved,0.412,0.648,237622,0.44,6kVKdpyyyUg8adDRXxObVo,0.0,0,0.148,-5.68,1,0.0328,131.951,4,0.34
142,G Flip,Waking Up Tomorrow,37NVAA0aDEWQctI1U44VWF,Saved,0.428,0.434,257157,0.625,37NVAA0aDEWQctI1U44VWF,0.00754,1,0.129,-6.204,0,0.1,94.031,4,0.189
143,G Flip,Lover,5Cq51gbgZSN4sN6Y3zq8cc,Saved,0.579,0.448,207289,0.467,5Cq51gbgZSN4sN6Y3zq8cc,0.0,7,0.11,-4.942,1,0.0305,120.201,4,0.0673
144,La La Land Cast,Another Day Of Sun,5kRBzRZmZTXVg8okC7SJFZ,Saved,0.0162,0.588,228173,0.742,5kRBzRZmZTXVg8okC7SJFZ,3.98e-06,8,0.653,-6.757,1,0.0528,125.819,4,0.824
